,0,1
0,U of T community remembers victims of gender - based violence,SA
1,Asian Markets Mostly Higher,T
2,Sexual Workers in Costa Rica Affirm Having Suffered Violence by Members of Police Forces,SA
3,"United States Embassy hosts Panel Discussion to mark "" 16 Days of Activism against Gender - based Violence """,T
4,Teen charged after threats made against Chesterfield County school,M
5,"El infierno , de vuelta en la frontera",T
6,Supreme Court to hear Ayodhya Ram Mandir matter on August 11,T
7,President Buhari hints at re - election in Kano,T
8, ' If I were to return to Zanu - PF ',SH
9,Press Conference at NATO,M
10,Val kritika nakon Trumpove odluke o statusu Jeruzalema,T
11,"Honduras : Now 100+ US Rights Organizations Condemn Election Tampering , Urge Cut to US Military Aid | Grassroots International",T
12,Investigation of potential threat results in arrest of Mountain,M
13,U . S . Braces for Violence at Embassies Around Muslim World as DOnald Trump Nears Jerusalem Move,T
14,Trump calls on Saudi Arabia to end its Yemen blockade ' immediately ' for ' humanitarian reasons ',T
15,Netanyahu : ' All Countries That Seek Peace ' Should Follow Trump Example on Jerusalem ; No Takers Yet,M
16,"Shocking photos , headlines highlight the brutality of Mexican cartels in 2017",T
17,Per minacciare la ex aveva sgozzato una gallina : farai la stessa fine . Condannato,M
18,Studiu : DE CE LOVIM COPIII,T
19,The Latest Threat to Peace in Colombia : Congress,M
20,Cofer Lamezia in maglia arancione per dire no alla Violenza di genere,T
21,"Nearly 1 , 300 Nigerians repatriated from Libya in November",M
22,Malaysia Shares May Open In The Red,T
23,Is fascism making a comeback ? ( Part 1 ),T
24,Bill letting people bring concealed guns across state lines passes US House,T
25,"Alexandra Dinu si Adrien Brody vin in Romania pentru premiera filmului "" Capcana mortala / Bullet Head """,T
26,Una vita da social a Volterra 7 dicembre 2017,T
27,House passes bill to let gun owners to carry concealed weapons across state lines - News - Uticaod,T
28,Sactwu slams abuse of women,M
29,"Family , friends gather to remember loved ones lost to violent crime",T
30,Apex man accused of killing wife also faces domestic violence charges in Louisiana,M
31,Se apropie Ignatul . Vezi aici cu ce pret se vand porcii in Buzau si in tara,T
32,Jerusalem declared capital - World News,T
33,"5 Things for December 7 : Wildfires , Trump Jr ., Jerusalem , same - s - KXLH . com",T
34,EEUU : Alerta de viajes a Honduras,T
35,Blackwater founder Erik Prince denies he owes an ex - business partner $1 million - Veterans,M
